full_id,gender,stadi1,stadi5,stadi9,stadi13,stadi17,aqf1,aqf2,aqf3,aqf4,aqf5,aqf6,aqf7,aqf8,apq26,apq28,apq35,apq40,apq40.r,emotionality,hostility,punishment
1058,Weiblich,3,3,1,2,2,2,3,2,2,3,2,2,1,3,3,3,3,3,2.2,2.125,3
1060,Weiblich,1,3,1,2,3,1,3,2,1,1,1,1,2,1,1,1,3,3,2,1.5,1.5
1061,Weiblich,2,2,3,2,2,1,3,2,2,1,2,3,1,1,1,1,5,1,2.2,1.875,1
1062,Männlich,2,2,2,1,1,3,2,1,1,2,2,3,1,1,1,1,5,1,1.6,1.875,1
1063,Männlich,2,2,3,2,2,2,3,1,1,3,1,3,3,2,1,2,2,4,2.2,2.125,2.25
1064,Weiblich,3,3,2,3,3,4,2,3,4,4,3,4,1,3,3,3,4,2,2.8,3.125,2.75
1065,Männlich,4,3,1,4,3,2,2,4,3,3,2,2,3,3,3,5,4,2,3,2.625,3.25
1066,Männlich,2,2,1,1,1,2,3,2,3,3,1,4,1,1,1,1,5,1,1.4,2.375,1
1067,Weiblich,3,3,3,3,3,1,3,2,3,2,3,2,2,2,3,3,4,2,3,2.25,2.5
1068,Männlich,2,2,2,3,2,1,1,1,1,4,1,2,1,1,1,3,5,1,2.2,1.5,1.5
1069,Männlich,1,1,1,2,2,3,3,2,2,2,2,2,2,1,1,1,4,2,1.4,2.25,1.25
1070,Männlich,2,2,3,2,1,1,2,2,1,4,1,3,3,1,1,1,5,1,2,2.125,1
1071,Weiblich,3,3,3,4,3,1,2,3,2,3,3,3,1,1,1,1,3,3,3.2,2.25,1.5
1072,Weiblich,2,2,2,2,2,1,2,1,1,3,3,2,2,1,1,1,5,1,2,1.875,1
1074,Weiblich,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,1,1.2,1.125,1
1075,Weiblich,3,3,2,4,2,2,4,3,3,2,4,2,2,2,1,2,5,1,2.8,2.75,1.5
1076,Männlich,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1.2,1,1.75
1077,Männlich,2,2,2,2,2,2,3,1,1,2,3,2,1,1,1,1,2,4,2,1.875,1.75
1078,Weiblich,2,3,2,3,3,3,3,2,3,3,3,3,2,3,4,4,4,2,2.6,2.75,3.25
1079,Weiblich,3,3,4,3,3,2,3,3,1,4,3,3,3,1,2,1,3,3,3.2,2.75,1.75
1080,Männlich,1,3,2,1,2,2,2,3,1,2,3,2,3,2,2,4,3,3,1.8,2.25,2.75
1081,Weiblich,2,2,2,2,2,2,3,2,2,3,3,2,2,1,1,3,4,2,2,2.375,1.75
1082,Weiblich,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,4,2,2,2,1.25
1083,Männlich,2,2,2,2,2,2,3,2,2,2,3,3,2,1,1,1,5,1,2,2.375,1
1084,Weiblich,3,3,2,3,2,3,1,2,1,3,2,3,1,1,1,1,5,1,2.6,2,1
1085,Männlich,2,2,4,3,1,1,2,1,1,1,2,1,1,1,1,1,3,3,2.4,1.25,1.5
1086,Weiblich,2,2,2,2,2,1,2,2,1,4,1,2,1,1,1,3,5,1,2,1.75,1.5
1087,Weiblich,2,2,1,1,1,1,3,2,1,3,1,2,2,1,1,1,5,1,1.4,1.875,1
1088,Weiblich,3,3,2,3,4,3,3,4,3,3,4,3,3,1,2,3,3,3,3,3.25,2.25
1089,Weiblich,2,3,3,2,1,4,2,1,1,3,2,4,1,1,1,1,5,1,2.2,2.25,1
1090,Männlich,3,3,2,2,2,3,3,2,1,3,3,2,1,1,1,1,5,1,2.4,2.25,1
1091,Weiblich,2,3,4,3,2,1,4,1,1,2,3,3,2,1,1,1,5,1,2.8,2.125,1
1092,Weiblich,3,3,3,4,3,1,3,1,1,3,1,3,1,1,1,1,5,1,3.2,1.75,1
1093,Weiblich,2,2,2,1,1,1,2,1,1,2,1,4,1,1,1,1,3,3,1.6,1.625,1.5
1094,Männlich,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,4,2,1.6,1.25,1.5
1095,Männlich,1,3,3,2,2,2,1,1,1,3,3,3,2,1,1,1,5,1,2.2,2,1
1096,Weiblich,2,2,3,2,2,2,3,2,2,4,4,2,2,1,1,2,5,1,2.2,2.625,1.25
1097,Männlich,1,2,2,2,1,1,1,1,1,2,2,2,3,1,1,1,5,1,1.6,1.625,1
1098,Männlich,2,2,2,1,1,1,2,2,2,2,1,2,1,1,1,1,4,2,1.6,1.625,1.25
1099,Weiblich,2,2,2,2,3,3,3,3,2,2,2,2,3,4,1,3,4,2,2.2,2.5,2.5
1100,Männlich,2,1,2,1,1,2,3,1,1,3,1,2,1,3,1,3,3,3,1.4,1.75,2.5
1101,Männlich,2,1,1,1,2,1,2,2,1,4,2,3,1,2,2,2,3,3,1.4,2,2.25
1102,Männlich,2,2,2,2,2,2,2,3,2,3,2,3,1,1,1,1,4,2,2,2.25,1.25
1103,Weiblich,2,2,2,2,2,1,1,1,2,3,1,2,1,1,1,1,4,2,2,1.5,1.25
1104,Weiblich,3,3,2,2,2,2,3,4,3,1,3,3,1,1,1,1,5,1,2.4,2.5,1
1105,Weiblich,3,2,3,2,2,1,4,2,2,2,3,2,3,1,1,1,5,1,2.4,2.375,1
1106,Männlich,2,2,2,2,2,1,1,1,2,3,2,1,1,1,1,1,5,1,2,1.5,1
1107,Weiblich,3,3,1,3,2,2,1,1,1,1,1,1,1,1,1,1,5,1,2.4,1.125,1
1108,Weiblich,4,3,2,1,3,1,2,2,1,2,1,2,1,1,1,1,5,1,2.6,1.5,1
1109,Weiblich,2,2,2,2,2,1,3,2,1,4,3,3,3,1,1,1,5,1,2,2.5,1
1110,Männlich,3,4,3,2,4,2,4,4,4,2,4,2,2,2,3,3,3,3,3.2,3,2.75
1111,Weiblich,2,3,2,3,2,2,3,2,2,3,2,2,2,2,1,2,3,3,2.4,2.25,2
1112,Männlich,1,1,1,1,2,1,1,1,1,2,2,2,1,4,1,3,3,3,1.2,1.375,2.75
1113,Männlich,2,1,2,1,1,1,2,1,1,3,1,2,1,1,1,1,5,1,1.4,1.5,1
1114,Weiblich,3,4,2,3,2,1,2,2,3,3,1,3,1,1,1,1,4,2,2.8,2,1.25
1115,Weiblich,2,2,1,2,2,1,2,3,1,2,3,3,2,1,1,2,5,1,1.8,2.125,1.25
1116,Männlich,2,1,1,2,2,3,2,2,3,2,3,3,1,1,2,1,4,2,1.6,2.375,1.5
1117,Männlich,3,2,2,3,2,1,2,1,2,2,2,2,2,1,1,1,3,3,2.4,1.75,1.5
1118,Weiblich,2,2,1,1,2,3,2,2,2,1,2,1,1,2,1,4,3,3,1.6,1.75,2.5
1119,Männlich,2,2,1,3,3,1,2,1,1,2,2,2,1,1,1,2,5,1,2.2,1.5,1.25
1120,Weiblich,3,3,4,4,2,1,1,1,1,3,1,1,2,1,1,1,5,1,3.2,1.375,1
1121,Männlich,2,2,3,2,1,1,2,2,1,2,2,2,1,3,3,3,1,5,2,1.625,3.5
1122,Männlich,2,2,1,2,2,1,2,2,1,3,2,3,1,1,3,1,2,4,1.8,1.875,2.25
1123,Weiblich,3,4,4,3,2,1,1,2,3,1,2,2,1,1,1,1,5,1,3.2,1.625,1
1124,Weiblich,2,1,1,1,1,3,4,2,1,3,3,3,2,1,1,1,5,1,1.2,2.625,1
1125,Weiblich,2,4,3,4,4,3,3,2,2,1,4,4,4,1,1,3,3,3,3.4,2.875,2
1126,Männlich,3,2,1,1,2,4,4,2,1,4,2,4,2,1,2,1,3,3,1.8,2.875,1.75
1127,Männlich,3,4,4,3,4,3,4,4,2,3,1,2,3,1,1,1,5,1,3.6,2.75,1
1128,Weiblich,2,3,1,2,3,1,2,1,1,2,1,1,1,1,1,1,5,1,2.2,1.25,1
1129,Männlich,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,4,4,2,1.2,1.25,2
1130,Männlich,2,2,1,1,1,2,2,1,1,4,1,2,1,1,1,1,4,2,1.4,1.75,1.25
1131,Weiblich,3,2,2,3,2,2,2,2,2,2,3,3,1,1,1,1,5,1,2.4,2.125,1
1132,Weiblich,2,2,2,2,1,3,2,2,2,2,2,2,2,1,1,3,4,2,1.8,2.125,1.75
1133,Männlich,2,2,1,2,2,1,2,1,2,2,4,2,4,1,1,2,5,1,1.8,2.25,1.25
1134,Weiblich,2,2,2,2,1,1,4,2,1,3,3,2,1,1,1,1,5,1,1.8,2.125,1
1135,Weiblich,4,3,4,2,2,4,2,3,2,3,1,3,1,1,1,5,4,2,3,2.375,2.25
1136,Weiblich,3,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,5,1,2,1.25,1
1137,Weiblich,3,2,1,1,2,1,4,3,1,4,4,4,3,1,2,2,2,4,1.8,3,2.25
1138,Männlich,2,2,2,2,1,3,2,1,1,2,2,2,1,1,1,3,4,2,1.8,1.75,1.75
1139,Männlich,3,3,1,4,3,4,4,1,4,3,2,2,2,2,1,1,5,1,2.8,2.75,1.25
1140,Männlich,2,2,2,2,2,3,2,1,2,3,2,2,1,1,1,3,4,2,2,2,1.75
1141,Männlich,2,2,1,1,1,1,2,3,1,2,2,1,1,1,1,1,3,3,1.4,1.625,1.5
1142,Weiblich,2,2,2,1,1,2,1,1,1,1,1,1,1,3,1,1,1,5,1.6,1.125,2.5
1143,Männlich,2,2,1,2,1,1,1,1,2,4,3,1,4,1,1,1,5,1,1.6,2.125,1
1144,Männlich,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,4,2,1.8,1.25,1.25
1145,Weiblich,3,3,2,3,3,2,4,2,4,3,3,2,2,1,1,1,5,1,2.8,2.75,1
1146,Weiblich,2,2,3,2,2,2,3,2,2,2,1,2,2,1,1,1,4,2,2.2,2,1.25
1147,Weiblich,4,3,2,2,3,3,4,3,4,3,3,4,2,1,1,1,5,1,2.8,3.25,1
1148,Männlich,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,4,2,1.4,1.25,1.25
1149,Männlich,2,2,1,2,2,2,2,1,1,2,3,3,1,1,1,1,5,1,1.8,1.875,1
1150,Männlich,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1.2,1,1
1151,Männlich,2,2,1,2,1,1,2,1,1,3,1,3,1,2,1,2,3,3,1.6,1.625,2
1152,Weiblich,2,2,3,1,2,1,2,1,1,1,1,1,1,1,2,2,5,1,2,1.125,1.5
1153,Männlich,2,2,1,1,1,2,1,2,NA,3,3,2,1,1,1,2,4,2,1.4,2,1.5
1154,Weiblich,1,1,1,2,2,2,2,3,1,2,3,3,2,1,1,1,5,1,1.4,2.25,1
1155,Weiblich,4,4,2,3,4,3,4,4,3,2,4,3,4,1,2,2,4,2,3.4,3.375,1.75
1156,Weiblich,3,2,2,2,2,1,2,3,1,3,1,3,3,1,1,2,4,2,2.2,2.125,1.5
1157,Weiblich,2,2,3,1,1,1,3,1,3,1,1,1,1,1,1,1,5,1,1.8,1.5,1
1158,Weiblich,3,3,2,2,2,4,3,2,2,1,3,1,2,2,1,3,1,5,2.4,2.25,2.75
1159,Männlich,1,1,2,1,2,1,1,1,1,1,2,2,1,2,1,2,3,3,1.4,1.25,2
1161,Weiblich,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,5,1,1.8,1.125,1
1162,Weiblich,3,4,2,4,2,1,1,1,1,4,3,4,1,1,1,1,5,1,3,2,1
1163,Weiblich,1,2,1,2,1,1,2,2,2,3,3,3,2,1,2,1,3,3,1.4,2.25,1.75
1164,Weiblich,3,3,2,1,3,2,2,2,1,1,2,4,2,1,1,1,5,1,2.4,2,1
1165,Männlich,2,2,1,1,1,2,2,1,1,3,2,4,2,1,2,2,3,3,1.4,2.125,2
1166,Weiblich,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,3,3,1.4,1.125,1.5
1167,Männlich,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,2,5,1,1.6,1.625,1.25
1168,Weiblich,2,2,2,2,3,2,2,3,2,2,2,2,2,1,1,1,4,2,2.2,2.125,1.25
1169,Weiblich,2,2,2,2,1,2,2,1,2,1,2,2,1,1,1,3,3,3,1.8,1.625,2
1170,Weiblich,1,2,2,1,2,1,2,1,1,2,1,1,1,1,2,1,5,1,1.6,1.25,1.25
1171,Männlich,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,5,1,1.8,1.25,1
1172,Männlich,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,2,2.4,2.125,2
1174,Weiblich,2,2,1,3,2,1,1,1,1,1,1,2,1,1,2,2,3,3,2,1.125,2
1175,Männlich,2,1,2,2,2,2,2,2,1,1,1,1,2,4,4,4,4,2,1.8,1.5,3.5
1176,Weiblich,3,2,3,2,2,1,1,1,1,2,2,2,1,1,1,1,5,1,2.4,1.375,1
1177,Weiblich,1,1,1,1,2,1,2,2,1,3,1,2,1,1,1,1,1,5,1.2,1.625,2
1178,Männlich,4,3,3,3,3,3,3,3,4,3,3,3,3,1,1,1,5,1,3.2,3.125,1
1179,Männlich,2,2,2,2,2,1,2,1,1,1,3,3,2,1,1,1,4,2,2,1.75,1.25
1180,Männlich,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,3
1181,Weiblich,4,4,4,3,4,2,3,2,3,3,3,3,3,1,1,2,3,3,3.8,2.75,1.75
1182,Weiblich,3,2,2,2,3,1,1,3,1,1,1,1,1,2,1,1,5,1,2.4,1.25,1.25
1183,Weiblich,1,1,1,2,1,2,3,1,1,3,2,2,2,1,1,1,4,2,1.2,2,1.25
1184,Weiblich,3,3,3,2,3,2,3,3,4,2,2,2,2,3,2,2,4,2,2.8,2.5,2.25
1185,Männlich,2,2,1,2,2,1,2,2,1,2,2,2,1,1,1,1,5,1,1.8,1.625,1
1186,Männlich,2,2,1,3,1,1,3,2,1,2,2,3,2,2,1,2,3,3,1.8,2,2
1187,Männlich,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,4,4,2,2,1.625,2
1188,Männlich,1,1,2,1,1,1,2,1,1,3,1,3,1,1,1,2,4,2,1.2,1.625,1.5
1189,Männlich,3,3,2,2,4,1,2,1,2,1,1,1,2,1,1,1,5,1,2.8,1.375,1
1190,Weiblich,3,2,1,2,2,1,4,3,1,4,4,3,2,1,1,1,5,1,2,2.75,1
1191,Weiblich,4,4,2,3,4,2,2,2,4,3,3,3,1,1,1,1,5,1,3.4,2.5,1
1192,Weiblich,2,2,2,2,3,2,2,3,4,3,4,3,1,1,1,1,3,3,2.2,2.75,1.5
1193,Weiblich,3,2,1,1,2,1,2,2,1,3,2,3,1,2,1,1,5,1,1.8,1.875,1.25
1194,Männlich,3,3,3,2,2,1,1,1,1,1,2,1,1,1,1,1,5,1,2.6,1.125,1
1195,Männlich,2,1,1,1,1,1,2,2,3,3,2,3,1,2,2,2,4,2,1.2,2.125,2
1196,Weiblich,2,1,2,2,1,2,4,2,1,3,2,4,1,1,1,2,5,1,1.6,2.375,1.25
1197,Männlich,4,4,2,3,4,1,2,3,3,3,3,3,2,2,1,3,4,2,3.4,2.5,2
1198,Weiblich,3,3,3,3,3,2,3,3,2,3,4,3,1,2,3,1,5,1,3,2.625,1.75
1199,Weiblich,2,3,2,2,3,1,2,1,2,1,2,1,1,1,1,1,5,1,2.4,1.375,1
1200,Weiblich,3,3,3,3,3,1,3,2,2,4,4,3,2,2,3,2,5,1,3,2.625,2
1201,Weiblich,1,4,2,3,2,4,2,3,2,3,2,2,4,5,3,2,2,4,2.4,2.75,3.5
1202,Männlich,2,2,1,1,1,1,2,2,1,2,1,3,1,1,1,1,4,2,1.4,1.625,1.25
1203,Weiblich,3,3,2,2,3,2,4,3,3,2,1,3,1,1,1,1,5,1,2.6,2.375,1
