"";"full_id";"gender";"stadi1";"stadi2";"stadi3";"stadi4";"stadi5";"stadi6";"stadi7";"stadi8";"stadi9";"stadi10";"stadi11";"stadi12";"stadi13";"stadi14";"stadi15";"stadi16";"stadi17";"stadi18";"stadi19";"stadi20";"rse1";"rse2";"rse3";"rse4";"rse5";"rse6";"rse7";"rse8";"rse9";"rse10";"apq26";"apq28";"apq35";"apq40";"rse2.r";"rse5.r";"rse6.r";"rse8.r";"rse9.r";"stadi3.r";"stadi7.r";"stadi11.r";"stadi15.r";"stadi19.r";"apq40.r";"depression";"angst";"selbstwert";"strafen";"negative_affect";"negative_affect_z";"selbstwert_z"
"11";1011;"Männlich";2;2;3;1;2;2;4;2;2;3;2;1;1;1;3;1;1;2;1;1;5;2;5;5;2;2;4;2;1;5;3;2;3;4;4;4;4;4;5;2;1;3;2;4;2;1,8;1,8;4,3;2,5;3,6;-0,582328301894754;0,948459855273412
"12";1012;"Weiblich";4;4;1;4;4;4;1;2;2;2;4;4;4;4;1;4;4;4;1;4;1;5;3;2;5;5;2;5;5;1;2;3;3;1;1;1;1;1;1;4;4;1;4;4;5;3,5;3,6;1,8;3,25;7,1;2,76430908565336;-3,04648566693834
"13";1013;"Weiblich";3;3;2;3;3;3;2;2;3;3;2;2;3;3;2;2;2;3;2;2;4;3;3;3;2;2;4;3;3;3;3;1;2;2;3;4;4;3;3;3;3;3;3;3;4;2,6;2,9;3,4;2,5;5,5;1,23441770848851;-0,489720532722817
"14";1014;"Männlich";2;2;2;2;1;2;3;1;1;1;4;1;2;1;4;1;2;2;3;1;5;2;3;3;2;1;3;4;2;3;1;2;2;3;4;4;5;2;4;3;2;1;1;2;3;1,5;1,6;3,8;2;3,1;-1,06041935725877;0,149470750831063
"15";1015;"Männlich";2;3;1;2;2;3;4;2;3;1;2;2;4;2;1;2;3;3;2;2;3;2;3;2;4;3;2;3;3;3;3;2;3;3;4;2;3;3;3;4;1;3;4;3;3;2,5;2,6;2,8;2,75;5,1;0,851944864197295;-1,44850745805364
"16";1016;"Männlich";3;3;2;2;3;1;1;4;3;3;4;3;1;3;2;3;3;4;2;4;2;2;1;1;3;2;4;3;2;3;2;1;4;5;4;3;4;3;4;3;4;1;3;3;1;3;2,7;2,9;2;5,7;1,42565413063412;-1,28870963716517
"17";1017;"Weiblich";2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;1;1;1;5;1;1;1;1;1;1;3;3;3;3;1;2,3;2;3,4;1;4,3;0,086999175614869;-0,489720532722817
"18";1018;"Weiblich";3;3;2;3;2;2;2;2;3;3;3;2;3;3;4;3;3;2;3;2;5;3;3;5;1;1;5;5;4;5;2;3;3;4;3;5;5;1;2;3;3;2;1;2;2;2,3;2,7;4,3;2,5;5;0,756326653124492;0,948459855273412
"19";1019;"Weiblich";2;3;3;2;2;2;2;2;3;3;2;2;3;2;2;1;2;3;2;1;3;2;4;4;2;3;4;4;2;4;4;3;1;4;4;4;3;2;4;2;3;3;3;3;2;2,2;2,5;3,8;2,5;4,7;0,469472019906083;0,149470750831063
"20";1020;"Männlich";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;1;1;2;2;3;3;3;3;3;3;3;3;3;3;4;2,5;2;3;2;4,5;0,278235597760476;-1,1289118162767
"21";1021;"Weiblich";2;3;4;2;2;2;3;3;2;2;3;2;2;2;2;1;2;3;4;2;4;3;4;4;1;1;3;3;1;3;1;1;1;4;3;5;5;3;5;1;2;2;3;1;2;1,9;2,2;3,9;1,25;4,1;-0,104237246530738;0,309268571719533
"22";1022;"Männlich";3;2;3;1;3;2;4;4;3;2;1;1;3;4;3;2;1;3;2;2;4;3;3;4;5;4;3;4;3;4;4;3;2;5;3;1;2;2;3;2;1;4;2;3;1;2,2;2,6;3,1;2,5;4,8;0,565090230978886;-0,969113995388227
"23";1023;"Männlich";3;4;4;2;3;3;3;2;3;4;3;3;3;3;3;2;4;3;2;3;4;3;3;3;4;3;3;4;4;3;4;4;4;4;3;2;3;2;2;1;2;2;2;3;2;2,2;3,3;3;3,5;5,5;1,23441770848851;-1,1289118162767
"24";1024;"Männlich";3;3;2;2;2;2;3;3;2;2;1;2;2;2;2;2;1;2;2;2;4;1;4;4;2;2;4;2;3;4;1;1;1;5;5;4;4;4;3;3;2;4;3;3;1;2,6;2,1;3,8;1;4,7;0,469472019906083;0,149470750831063
"25";1025;"Männlich";3;3;3;3;3;2;4;3;2;2;2;2;2;1;3;1;2;1;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;3;2;2;3;2,1;2,1;3;3;4,2;-0,00861903545793394;-1,1289118162767
"26";1026;"Weiblich";2;3;3;2;3;2;3;2;2;2;2;2;2;2;3;2;2;2;3;2;4;3;4;4;1;3;5;3;1;4;1;2;1;3;3;5;3;3;5;2;2;3;2;2;3;2,1;2,2;4;1,75;4,3;0,0869991756148699;0,469066392608003
"27";1027;"Männlich";4;2;3;3;4;2;3;4;4;2;3;3;4;2;4;4;3;2;4;2;5;4;5;4;1;4;4;4;4;5;4;4;5;5;2;5;2;2;2;2;2;2;1;1;1;2,4;2,9;3,8;3,5;5,3;1,0431812863429;0,149470750831063
"28";1028;"Männlich";2;2;3;2;2;2;3;2;1;2;2;2;1;1;3;2;2;1;2;2;4;1;4;5;1;2;5;1;1;4;1;1;1;5;5;5;4;5;5;2;2;3;2;3;1;2,2;1,6;4,2;1;3,8;-0,391091879749147;0,788662034384943
"29";1029;"Weiblich";2;3;2;2;2;2;3;2;2;3;2;3;2;2;3;1;2;2;2;2;4;3;4;3;2;3;5;3;2;4;5;1;1;5;3;4;3;3;4;3;2;3;2;3;1;2,3;2,2;3,7;2;4,5;0,278235597760476;-0,0103270700574068
"30";1030;"Weiblich";4;4;3;2;3;4;2;3;3;4;2;3;3;4;2;2;2;4;3;2;2;4;3;3;2;3;3;4;3;3;1;1;1;5;2;4;3;2;3;2;3;3;3;2;1;2,5;3,5;3;1;6;1,71250876385253;-1,1289118162767
"31";1031;"Weiblich";2;4;3;1;2;3;3;1;1;4;2;2;2;3;2;2;2;4;3;2;3;4;3;4;1;4;3;4;2;2;1;1;1;5;2;5;2;2;4;2;2;3;3;2;1;2;2,7;3,2;1;4,7;0,469472019906083;-0,809316174499757
"32";1032;"Männlich";2;1;3;1;1;1;3;2;1;1;3;1;3;1;1;1;1;2;1;1;3;2;4;4;2;1;1;1;1;4;2;2;2;3;4;4;5;5;5;2;2;2;4;4;3;2;1,4;3,5;2,25;3,4;-0,773564724040361;-0,329922711834347
"33";1033;"Männlich";2;2;3;2;3;2;3;2;2;2;3;1;2;1;3;1;2;1;3;2;5;4;4;3;2;3;4;4;3;4;4;2;4;3;2;4;3;2;3;2;2;2;2;2;3;1,8;1,9;3,6;3,25;3,7;-0,48671009082195;-0,170124890945877
"34";1034;"Weiblich";2;3;2;1;3;2;3;2;2;2;1;2;1;2;2;1;2;2;2;1;4;2;4;4;2;1;4;1;1;4;1;1;1;5;4;4;5;5;5;3;2;4;3;3;1;2,2;2,1;3,9;1;4,3;0,0869991756148699;0,309268571719533
"35";1035;"Weiblich";2;3;3;2;2;1;3;2;2;3;2;2;2;2;3;2;2;2;2;2;3;4;4;4;4;3;4;3;2;4;1;1;1;5;2;2;3;3;4;2;2;3;2;3;1;2,2;2,1;3,3;1;4,3;0,0869991756148699;-0,649518353611287
"36";1036;"Weiblich";1;3;3;2;2;2;4;2;2;2;3;1;2;3;3;2;2;4;4;1;3;3;4;4;2;4;3;3;3;4;1;2;2;4;3;4;2;3;3;2;1;2;2;1;2;1,6;2,3;3,3;1,75;3,9;-0,295473668676344;-0,649518353611287
"37";1037;"Weiblich";2;1;4;1;1;2;4;2;2;2;2;2;2;2;4;1;1;1;4;1;4;2;4;2;1;1;5;2;1;5;1;1;5;3;4;5;5;4;5;1;1;3;1;1;3;1,4;1,6;4,1;2,5;3;-1,15603756833157;0,628864213496472
"38";1038;"Weiblich";3;3;3;4;3;4;2;3;3;4;2;2;3;4;2;3;3;4;2;2;2;3;3;2;3;3;4;5;4;3;1;1;2;5;3;3;3;1;2;2;3;3;3;3;1;2,8;3,4;3;1,25;6,2;1,90374518599813;-1,1289118162767
"39";1039;"Weiblich";3;4;3;2;4;4;2;2;3;4;2;2;4;4;2;2;2;4;2;2;4;4;4;3;4;2;2;2;2;3;1;1;5;5;2;2;4;4;4;2;3;3;3;3;1;2,4;3,6;3;2;6;1,71250876385253;-1,1289118162767
"40";1040;"Weiblich";3;2;4;2;2;2;4;2;2;2;3;2;3;2;4;2;2;2;4;2;5;1;5;4;1;1;5;2;1;5;1;1;1;5;5;5;5;4;5;1;1;2;1;1;1;1,6;2,2;4,6;1;3,8;-0,391091879749147;1,42785331793882
"41";1041;"Männlich";2;3;4;2;2;2;2;2;2;3;2;1;2;2;3;2;2;2;2;2;3;3;4;4;3;4;4;4;4;4;5;4;4;5;3;3;2;2;2;1;3;3;2;3;1;2,1;2,2;3,3;3,5;4,3;0,0869991756148699;-0,649518353611287
